product_id,last_inserted_date,shop_id,product_name,product_image,currency,status,product_category_id,product_flag,product_cb_option,product_current_status,product_price,product_price_before_discount,product_discount,tier_variations,tier_variations_type,tier_variations_count,product_type,is_on_flash_sale,shopee_verified,product_stock,product_avg_rating,total_rating_count,rating_count_details,rating_count_with_context,rating_count_with_image,product_url,first_live_date,last_live_date,number_of_live_days,times_sold_out,max_product_price,min_product_price,max_product_discount,min_product_discount,days_on_flash_sale,all_time_sold,last_7_days_sold,all_time_like,last_7_days_like,all_time_view,last_7_days_view,all_time_comment,last_7_days_comment,all_time_rating,last_7_days_rating,last_updated_date
2963464221,2021-09-01,53452181,"Sạc Không Dây (Wireless Charger) Mi 20W Wireless Charging Stand / Black (Đen - GDS4145GL)",34f106f0b16a7ac50dab37bc2e5b1157,VND,1,100013,268435458,0,normal,5,0,0,,,1,0,0,0,1,5,3,"3, 0, 0, 0, 0, 3",2,1,https://shopee.vn/Sạc-Không-Dây-(Wireless-Charger)-Mi-20W-Wireless-Charging-Stand-/-Black-(Đen---GDS4145GL)-i.53452181.2963464221,2021-08-16,2021-09-01,17,0,490000,419000,14,0,0,12,0,53,0,3847,0,3,0,3,0,2021-09-25
2966232582,2021-09-24,65589552,"[Mã ELSAMHOT giảm 5% đơn 3TR] Màn Hình Thông Minh Samsung LS27AM501NEXXV 27 inch - Hàng chính hãng",b9e86c1c6ff1eb3466a62b8a19ae7dd3,VND,1,100644,269025280,0,normal,67,77,12,,,1,0,0,0,2,0,0,"0, 0, 0, 0, 0, 0",0,0,https://shopee.vn/[Mã-ELSAMHOT-giảm-5%-đơn-3TR]-Màn-Hình-Thông-Minh-Samsung-LS27AM501NEXXV-27-inch---Hàng-chính-hãng-i.65589552.2966232582,2021-08-16,2021-09-24,40,0,6990000,6559000,14,9,1,1,0,94,3,4412,237,0,0,0,0,2021-09-25
3032617730,2021-09-24,65589552,"[Mã ELSAMHOT giảm 5% đơn 3TR] Smart Tivi Samsung Crystal UHD 4K 43 inch UA43AU8000KXXV - Miễn Phí Lắp Đặt",41fbe8a286c32a36a332e7ea8a90bd6a,VND,1,100010,269025282,0,normal,123,154,20,,,1,0,0,0,26,5,8,"8, 0, 0, 0, 0, 8",5,5,https://shopee.vn/[Mã-ELSAMHOT-giảm-5%-đơn-3TR]-Smart-Tivi-Samsung-Crystal-UHD-4K-43-inch-UA43AU8000KXXV---Miễn-Phí-Lắp-Đặt-i.65589552.3032617730,2021-08-16,2021-09-24,40,0,13690000,11999000,22,11,2,20,1,134,4,11099,638,8,0,8,0,2021-09-25
3088243395,2021-09-22,65589552,"Điện Thoại Samsung Galaxy Z Fold3 5G 512GB",e7d0d4cc94a2f0f496c2347ed1f2bbad,VND,1,100013,268959744,0,normal,450,0,0,"Đen Phantom, Bạc Phantom, Xanh Phantom",Name,3,0,0,0,4,0,0,"0, 0, 0, 0, 0, 0",0,0,https://shopee.vn/Điện-Thoại-Samsung-Galaxy-Z-Fold3-5G-512GB-i.65589552.3088243395,2021-08-22,2021-09-22,32,0,44990000,44990000,0,0,0,0,0,70,3,10889,1901,0,0,0,0,2021-09-25
3167174994,2021-09-24,88201679,"[Mã ELAP1TR giảm 5% đơn 3TR] Apple Watch SE 44mm GPS Sport Band",2b9e53607bf8351e49e0f9718cfe0e91,VND,1,100013,268959746,0,normal,72,100,28,"Sliver Aluminum, Space Gray Aluminum, Gold Aluminum",Color,3,0,0,0,31,4.9,215,"215, 2, 2, 2, 3, 206",120,103,https://shopee.vn/[Mã-ELAP1TR-giảm-5%-đơn-3TR]-Apple-Watch-SE-44mm-GPS-Sport-Band-i.88201679.3167174994,2021-08-16,2021-09-24,40,0,7390000,7090000,29,26,0,433,32,1601,16,36376,1521,215,20,215,20,2021-09-25
3318114252,2021-09-24,65589552,"[Mã ELSAMHOT giảm 5% đơn 3TR] Smart Tivi Samsung 43 Inch Full HD UA43T6000AKXXV - Miễn phí lắp đặt",62117a91300da314696de39ad960fd66,VND,1,100010,269025282,0,normal,87,104,16,,,1,0,0,0,1,4.9,88,"88, 1, 1, 0, 3, 83",31,25,https://shopee.vn/[Mã-ELSAMHOT-giảm-5%-đơn-3TR]-Smart-Tivi-Samsung-43-Inch-Full-HD-UA43T6000AKXXV---Miễn-phí-lắp-đặt-i.65589552.3318114252,2021-08-16,2021-09-24,40,0,9100000,8288000,20,13,0,257,0,638,7,7415,850,88,0,88,0,2021-09-25
3355877166,2021-09-24,88201679,"[Mã ELAP300K giảm 5% đơn 500K] Apple Magic Mouse 2 Multi-Touch",65839ad53060d658482f23c57197ebe2,VND,1,100644,268435458,0,normal,21,30,30,"Silver, Space Grey","Màu sắc",2,0,0,0,167,4.9,135,"135, 1, 0, 3, 6, 125",78,74,https://shopee.vn/[Mã-ELAP300K-giảm-5%-đơn-500K]-Apple-Magic-Mouse-2-Multi-Touch-i.88201679.3355877166,2021-08-16,2021-09-24,40,0,2090000,1702000,43,30,0,304,51,574,38,30588,3984,135,23,135,23,2021-09-25
3400182282,2021-09-23,88201679,"[Mã ELAP1TR giảm 5% đơn 3TR] Apple iPhone 11 128GB",e891e6f900bf8b1760a343231e31f726,VND,1,100013,268959746,0,normal,230,0,0,"Yellow, Purple, Green, Black, Red, White","Màu sắc",6,0,0,0,4,4.8,362,"362, 8, 5, 5, 7, 337",168,138,https://shopee.vn/[Mã-ELAP1TR-giảm-5%-đơn-3TR]-Apple-iPhone-11-128GB-i.88201679.3400182282,2021-08-16,2021-09-23,33,0,22990000,14590000,37,0,0,1034,87,3188,52,135946,7937,362,33,362,33,2021-09-25
3477433810,2021-09-24,53452181,"Pin sạc dự phòng Xiaomi 20000mAh 3 Pro/Đen (Black) (VXN4254GL)",5851e1f02ba0e27a8ce7cccd8fe5bac6,VND,1,100013,268435458,0,normal,10,0,0,,,1,0,0,0,1,4.8,20,"20, 1, 0, 0, 0, 19",10,6,https://shopee.vn/Pin-sạc-dự-phòng-Xiaomi-20000mAh-3-Pro/Đen-(Black)-(VXN4254GL)-i.53452181.3477433810,2021-09-14,2021-09-24,11,0,999000,999000,0,0,0,51,0,94,1,664,372,20,0,20,0,2021-09-25
3516435008,2021-09-19,53452181,"Máy lọc không khí Xiaomi 3H EUFJY4031GL - Chính hãng",0d5630bd65230c541969f8d80e773645,VND,1,100010,268959746,0,normal,28,40,30,,,1,0,0,0,1,4.7,64,"64, 3, 0, 2, 5, 54",34,26,https://shopee.vn/Máy-lọc-không-khí-Xiaomi-3H-EUFJY4031GL---Chính-hãng-i.53452181.3516435008,2021-08-16,2021-09-19,29,0,3999000,2790000,30,0,1,197,0,441,2,1753,27,65,0,64,0,2021-09-25
